county,office,district,party,candidate,votes,no_votes
LAS ANIMAS,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,3973,"2,021"
LINCOLN,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,1139,900
LOGAN,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,4580,"3,449"
MESA,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,44586,"20,549"
MINERAL,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,400,165
MOFFAT,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,2658,"2,457"
MONTEZUMA,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,6808,"4,423"
MONTROSE,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,11764,"6,360"
MORGAN,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,5916,"4,296"
OTERO,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,4514,"2,676"
OURAY,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,2340,761
PARK,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,6074,"3,082"
PHILLIPS,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,1060,859
PITKIN,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,7614,"1,501"
PROWERS,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,2149,"1,795"
PUEBLO,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,44949,"19,749"
RIO BLANCO,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,1499,"1,360"
RIO GRANDE,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,2766,"1,967"
ROUTT,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,9090,"3,330"
SAGUACHE,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,1716,797
SAN JUAN,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,312,110
SAN MIGUEL,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,3071,761
SEDGWICK,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,590,548
SUMMIT,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,10433,"2,914"
TELLER,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,8767,"3,619"
WASHINGTON,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,1152,"1,159"
WELD,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,72668,"44,942"
YUMA,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,2140,"1,767"
TOTAL,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,1711008,"686,260"
ADAMS,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,106605,"52,802"
ALAMOSA,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,3578,"2,150"
ARAPAHOE,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,178357,"72,006"
ARCHULETA,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,4201,"2,094"
BACA,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,897,864
BENT,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,1077,719
BOULDER,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,125878,"38,058"
BROOMFIELD,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,25183,"9,189"
CHAFFEE,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,7053,"3,254"
CHEYENNE,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,490,468
CLEAR CREEK,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,3639,"1,461"
CONEJOS,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,1703,"1,535"
COSTILLA,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,918,524
CROWLEY,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,814,531
CUSTER,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,1650,"1,117"
DELTA,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,9125,"5,194"
DENVER,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,230911,"57,342"
DOLORES,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,513,578
DOUGLAS,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,113500,"52,115"
EAGLE,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,14979,"5,257"
ELBERT,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,8597,"5,397"
EL PASO,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,192467,"73,199"
FREMONT,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,12698,"6,164"
GARFIELD,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,15248,"7,322"
GILPIN,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,2168,"1,022"
GRAND,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,5006,"2,193"
GUNNISON,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,6040,"2,142"
HINSDALE,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,348,178
HUERFANO,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,2421,"1,045"
JACKSON,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,381,347
JEFFERSON,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,208453,"81,783"
KIOWA,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,426,306
KIT CARSON,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,1807,"1,099"
LAKE,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,1778,898
LA PLATA,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,20125,"6,366"
LARIMER,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,118890,"50,422"
LAS ANIMAS,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,3864,"2,086"
LINCOLN,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,1102,923
LOGAN,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,4484,"3,489"
MESA,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,43384,"21,216"
MINERAL,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,377,178
MOFFAT,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,2591,"2,455"
MONTEZUMA,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,6565,"4,499"
MONTROSE,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,11501,"6,495"
MORGAN,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,5716,"4,383"
OTERO,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,4361,"2,804"
OURAY,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,2284,776
PARK,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,5913,"3,151"
PHILLIPS,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,1031,865
PITKIN,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,7549,"1,497"
PROWERS,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,2090,"1,825"
PUEBLO,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,44094,"19,868"
RIO BLANCO,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,1450,"1,371"
RIO GRANDE,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,2744,"1,958"
ROUTT,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,8875,"3,371"
SAGUACHE,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,1701,790
SAN JUAN,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,299,119
SAN MIGUEL,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,3013,792
SEDGWICK,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,574,553
SUMMIT,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,10336,"2,944"
TELLER,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,8538,"3,696"
WASHINGTON,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,1132,"1,153"
WELD,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,71994,"44,934"
YUMA,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,2097,"1,781"
TOTAL,Amendment Z (CONSTITUTIONAL),,,Legislative Redistricting,1687583,"687,113"
ADAMS,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,103688,"59,959"
ALAMOSA,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,3189,"2,605"
ARAPAHOE,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,178251,"77,509"
ARCHULETA,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,3563,"2,873"
BACA,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,576,"1,193"
BENT,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,767,"1,061"
BOULDER,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,136912,"31,987"
BROOMFIELD,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,24395,"10,416"
CHAFFEE,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,6352,"4,140"
CHEYENNE,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,328,628
CLEAR CREEK,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,3399,"1,777"
CONEJOS,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,1478,"1,786"
COSTILLA,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,865,609
CROWLEY,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,551,785
CUSTER,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,1460,"1,308"
DELTA,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,6547,"7,937"
DENVER,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,240464,"53,603"
DOLORES,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,403,727
DOUGLAS,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,106242,"62,313"
EAGLE,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,14644,"6,184"
ELBERT,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,6752,"7,422"
EL PASO,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,166719,"101,722"
FREMONT,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,8922,"9,939"
GARFIELD,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,14104,"8,927"
GILPIN,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,2052,"1,207"
GRAND,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,4506,"2,887"
GUNNISON,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,5636,"2,881"
HINSDALE,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,271,269
HUERFANO,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,2045,"1,419"
JACKSON,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,278,458
JEFFERSON,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,199144,"94,605"
KIOWA,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,260,458
KIT CARSON,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,1366,"1,524"
LAKE,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,1687,"1,097"
LA PLATA,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,17830,"9,352"
LARIMER,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,115827,"57,579"
LAS ANIMAS,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,3081,"2,871"
LINCOLN,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,735,"1,274"
LOGAN,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,3436,"4,650"
MESA,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,30158,"34,820"
MINERAL,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,299,260
MOFFAT,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,1934,"3,188"
MONTEZUMA,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,5837,"5,362"
MONTROSE,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,8212,"9,910"
MORGAN,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,4655,"5,569"
OTERO,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,3368,"3,767"
OURAY,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,1997,"1,095"
PARK,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,5056,"4,138"
PHILLIPS,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,845,"1,089"
PITKIN,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,7483,"1,810"
PROWERS,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,1544,"2,378"
PUEBLO,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,35924,"27,736"
RIO BLANCO,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,1048,"1,796"
RIO GRANDE,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,2316,"2,414"
ROUTT,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,8504,"4,217"
SAGUACHE,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,1593,935
SAN JUAN,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,290,136
SAN MIGUEL,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,2957,964
SEDGWICK,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,538,620
SUMMIT,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,9948,"3,633"
TELLER,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,6523,"5,926"
WASHINGTON,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,792,"1,524"
WELD,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,67649,"50,805"
YUMA,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,1595,"2,309"
TOTAL,Amendment A (CONSTITUTIONAL),,,Prohibit Slavery and Involuntary Servitude,1599790,"816,342"
ADAMS,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,76761,"87,753"
ALAMOSA,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,2537,"3,321"
ARAPAHOE,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,123763,"135,625"
ARCHULETA,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,2811,"3,659"
BACA,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,505,"1,303"
BENT,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,566,"1,267"
BOULDER,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,106527,"62,329"
BROOMFIELD,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,17865,"17,528"
CHAFFEE,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,4786,"5,774"
CHEYENNE,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,253,739
CLEAR CREEK,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,2382,"2,809"
CONEJOS,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,1216,"2,107"
COSTILLA,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,635,833
CROWLEY,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,396,951
CUSTER,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,854,"1,964"
DELTA,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,5270,"9,270"
DENVER,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,186027,"114,947"
DOLORES,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,322,816
DOUGLAS,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,63467,"107,890"
EAGLE,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,10673,"10,277"
ELBERT,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,3640,"10,647"
EL PASO,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,90017,"181,566"
FREMONT,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,6012,"13,082"
GARFIELD,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,11525,"11,873"
GILPIN,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,1505,"1,746"
GRAND,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,3493,"4,051"
GUNNISON,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,4924,"3,679"
HINSDALE,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,214,336
HUERFANO,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,1400,"2,077"
JACKSON,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,254,503
JEFFERSON,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,140963,"156,189"
KIOWA,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,178,562
KIT CARSON,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,840,"2,164"
LAKE,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,1472,"1,338"
LA PLATA,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,12947,"14,469"
LARIMER,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,92642,"83,393"
LAS ANIMAS,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,1974,"4,070"
LINCOLN,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,606,"1,443"
LOGAN,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,3539,"4,684"
MESA,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,22408,"43,416"
MINERAL,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,247,323
MOFFAT,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,1625,"3,618"
MONTEZUMA,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,4852,"6,555"
MONTROSE,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,6135,"12,252"
MORGAN,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,3640,"6,786"
OTERO,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,2322,"4,901"
OURAY,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,1720,"1,411"
PARK,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,3300,"5,989"
PHILLIPS,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,802,"1,196"
PITKIN,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,5573,"3,849"
PROWERS,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,1261,"2,761"
PUEBLO,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,23413,"41,604"
RIO BLANCO,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,940,"1,991"
RIO GRANDE,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,1649,"3,130"
ROUTT,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,6634,"6,265"
SAGUACHE,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,1229,"1,374"
SAN JUAN,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,226,204
SAN MIGUEL,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,2196,"1,754"
SEDGWICK,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,513,669
SUMMIT,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,7231,"6,416"
TELLER,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,3589,"8,864"
WASHINGTON,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,823,"1,541"
WELD,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,48209,"73,643"
YUMA,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,1229,"2,785"
TOTAL,Amendment 73 (CONSTITUTIONAL),,,Funding for Public Schools,1137527,"1,312,331"
ADAMS,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,85868,"78,452"
ALAMOSA,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,2870,"3,048"
ARAPAHOE,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,128894,"131,236"
ARCHULETA,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,3905,"2,666"
BACA,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,1103,718
BENT,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,1020,813
BOULDER,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,52179,"117,384"
BROOMFIELD,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,14740,"20,853"
CHAFFEE,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,4970,"5,671"
CHEYENNE,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,527,445
CLEAR CREEK,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,2586,"2,664"
CONEJOS,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,1775,"1,555"
COSTILLA,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,835,680
CROWLEY,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,805,556
CUSTER,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,1541,"1,282"
DELTA,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,7635,"7,003"
DENVER,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,113531,"187,392"
DOLORES,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,644,493
DOUGLAS,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,83713,"87,643"
EAGLE,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,9714,"11,089"
ELBERT,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,8431,"5,947"
EL PASO,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,125307,"144,087"
FREMONT,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,10564,"8,603"
GARFIELD,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,11315,"12,214"
GILPIN,Amendment 74 (CONSTITUTIONAL),,,Compensation for Market Value Reduction,1693,"1,589"
